City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
306,svetlaya,92,RU,1647875534,79,46.5389,138.3297,21.47,7.34
307,mazagao,100,BR,1647875534,96,-0.115,-51.2894,77.05,3.31
308,lebedinyy,100,RU,1647875536,95,58.5167,125.5167,16.79,17.27
309,umm lajj,0,SA,1647875538,57,25.0213,37.2685,72.95,6.29
310,bonavista,100,CA,1647875538,95,48.6499,-53.1147,31.37,31.05
311,moroni,96,KM,1647875538,81,-11.7022,43.2551,80.91,1.03
312,juneau,100,US,1647875539,95,58.3019,-134.4197,37.98,19.57
313,kaeo,11,NZ,1647875540,94,-35.1,173.7833,70.32,7.54
314,kurchum,97,KZ,1647875540,89,48.5722,83.6542,16.56,4.56
315,barcelona,40,ES,1647875542,72,41.3888,2.159,60.19,18.41
316,erzin,99,TR,1647875543,54,36.9559,36.2,48.97,2.17
317,carutapera,94,BR,1647875543,79,-1.195,-46.02,82.54,3.8
318,wexford,93,IE,1647875544,86,52.3342,-6.4575,54.21,13.69
319,zarinsk,86,RU,1647875544,94,53.7074,84.9493,13.68,5.91
320,mehamn,92,NO,1647875546,75,71.0357,27.8492,34.09,45.37
321,kanniyakumari,35,IN,1647875546,80,8.0833,77.5667,82.29,19.93
322,laranja da terra,57,BR,1647875546,48,-19.8989,-41.0567,88.05,1.95
323,khovu-aksy,43,RU,1647875547,89,51.1333,93.6,2.7,4.29
324,ayorou,3,NE,1647875547,8,14.7308,0.9174,104.99,6.64
325,pangnirtung,58,CA,1647875547,65,66.1451,-65.7125,-4.13,1.52
326,sarangani,100,PH,1647875494,75,5.4033,125.4636,82.69,15.39
327,mackay,66,AU,1647875550,73,-21.15,149.2,70.68,7.94
328,thunder bay,100,CA,1647875550,71,48.4001,-89.3168,33.3,3.0
329,ulladulla,1,AU,1647875495,89,-35.35,150.4667,58.77,4.59
330,caorle,0,IT,1647875551,30,45.5966,12.8758,62.42,2.82
331,port lincoln,100,AU,1647875551,81,-34.7333,135.8667,66.29,9.84
332,husavik,100,IS,1647875552,69,66.0449,-17.3389,33.22,5.03
333,consett,28,GB,1647875553,57,54.854,-1.8316,54.25,4.0
334,maceio,75,BR,1647875554,83,-9.6658,-35.7353,80.04,10.36
335,gravelbourg,1,CA,1647875554,53,49.8834,-106.5512,34.03,16.35
336,te anau,54,NZ,1647875411,92,-45.4167,167.7167,50.83,1.34
337,rizhao,100,CN,1647875556,86,35.4275,119.4553,38.37,1.16
338,araouane,16,ML,1647875556,8,18.9048,-3.5265,94.19,14.99
339,inuvik,75,CA,1647875557,76,68.3499,-133.7218,-15.84,0.0
340,ginda,0,IN,1647875558,28,30.6945,78.4932,58.17,7.83
341,faya,21,SA,1647875559,50,18.3851,42.4509,64.92,9.01
342,coquimbo,100,CL,1647875559,77,-29.9533,-71.3436,62.33,3.44
343,rozivka,4,UA,1647875564,63,46.9385,35.7724,47.35,11.88
344,norman wells,100,CA,1647875565,96,65.282,-126.8329,-4.49,7.78
345,vila do maio,17,CV,1647875566,72,15.1333,-23.2167,75.99,16.55
346,uromi,49,NG,1647875566,22,6.7,6.3333,99.25,3.33
347,grants pass,100,US,1647875567,83,42.439,-123.3284,43.25,0.0
348,polunochnoye,89,RU,1647875569,81,60.8697,60.4153,24.78,11.14
349,mogadishu,3,SO,1647875569,75,2.0371,45.3438,80.29,12.1
350,gillette,0,US,1647875569,85,44.2911,-105.5022,29.1,14.97
351,yumen,100,CN,1647875570,47,40.2833,97.2,39.09,4.47
352,toledo,98,ES,1647875570,59,39.8333,-4.0,61.32,15.77
353,narsaq,0,GL,1647875571,45,60.9167,-46.05,16.02,1.05
354,port hardy,100,CA,1647875571,90,50.6996,-127.4199,42.84,18.25
355,yeppoon,22,AU,1647875573,76,-23.1333,150.7333,69.58,7.65
356,vostok,98,RU,1647875573,97,46.4856,135.8833,18.32,1.83
357,akdagmadeni,99,TR,1647875573,86,39.6603,35.8836,25.21,7.45
358,kabompo,97,ZM,1647875575,89,-13.5927,24.2008,71.08,5.55
359,astana,100,KZ,1647875575,79,51.1801,71.446,15.75,26.84
360,khed brahma,2,IN,1647875575,12,24.0333,73.05,85.6,8.77
361,krasnogorskiy,50,RU,1647875576,89,54.6025,61.231,24.82,11.43
362,tual,100,ID,1647875496,73,-5.6667,132.75,84.54,17.0
363,hami,66,CN,1647875486,53,42.8,93.45,40.33,4.25
364,udarnyy,22,RU,1647875577,77,54.3409,42.8611,36.28,12.44
365,khorramshahr,63,IR,1647875577,14,30.4397,48.1664,74.77,7.31
366,nioki,100,CD,1647875578,87,-2.7167,17.6833,74.84,4.72
